<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
180427;000000;145.81;146;143.77;144.5;19498970
180428;000000;144.5;144.5;143.83;144.3;2256470
180430;000000;144.32;147.29;143.7;145.93;15278690
180502;000000;145.33;145.77;143.96;144.94;16008500
180503;000000;144.65;146.15;142.7;142.7;23992750
180504;000000;143.4;144.2;143.09;143.73;11726530
180507;000000;144.57;145.1;143.45;144.05;9382400
180508;000000;143.78;145.48;143.16;145.48;18282910
180510;000000;145.98;147.15;145.57;146.38;24103610
180511;000000;146.48;151.1;146.47;150.7;44778970
180514;000000;151.27;151.27;148.03;150.98;27828900
180515;000000;150.48;150.7;148;149.2;29085690
180516;000000;148.6;150.7;148.11;148.59;43775810
180517;000000;149.15;149.36;147.15;147.15;19160740
180518;000000;147.2;147.88;145.19;145.65;21435990
180521;000000;146;148.2;145.9;146.76;16198700
180522;000000;146.97;147.6;146.42;146.5;13141580
180523;000000;146.18;146.94;144.88;146.06;19430340
180524;000000;146.3;147.15;144.93;145.27;20556400
180525;000000;145.63;146.3;144.36;145.09;18117740
180528;000000;145.41;145.75;144.75;145.09;6573030
180529;000000;145.58;145.61;142.88;143.9;17528460
180530;000000;144;144.82;142.52;143.26;21823420
180531;000000;143.3;145.21;143.3;145;33892130
180601;000000;144.58;145.5;143.55;144;17487300
180604;000000;144.53;146.9;144.51;146.44;12800360
180605;000000;146.53;146.54;145.22;146;12693440
180606;000000;146.35;146.9;145.53;146.9;17153970
180607;000000;147.1;147.5;146;146.05;12295670
180608;000000;145.96;146.75;143.05;143.05;24404680
180609;000000;143.31;144.15;143.3;144.08;1573550
180611;000000;144.03;144.18;141.56;142.28;12697170
180613;000000;142.58;142.78;140.63;141;23488110
180614;000000;140.88;141.44;139.14;139.4;24957760
180615;000000;139.7;140.87;137.64;137.73;42377140
180618;000000;138.08;138.3;136;136.52;23017780
180619;000000;136.01;136.28;132.86;135.5;36367180
180620;000000;136.5;138.5;136;136.91;27041950
180621;000000;136.6;137.9;134.04;134.4;28718050
180622;000000;135;137.55;135;136.76;23927070
180625;000000;136.58;138.44;136.55;137.1;17165720
180626;000000;137.44;138.88;137.36;138.07;13703080
180627;000000;138.01;139.85;137.07;139;18905710
180628;000000;138.98;140.33;138.35;138.76;22645070
180629;000000;139.32;141.01;139.17;141.01;25801410
180702;000000;140.83;144.2;140.07;144;25199530
180703;000000;144.1;144.2;141.95;142.49;15018610
180704;000000;142.4;143.13;141.87;142.24;6350590
180705;000000;142.17;145.55;141.64;145.55;19505580
180706;000000;145.7;145.7;143.57;144.96;17150670
180709;000000;145.75;148.1;145.53;148;17769380
180710;000000;148.13;148.37;146.42;147.3;18078220
180711;000000;146.76;146.76;143.85;144.77;23479310
180712;000000;144.71;145.7;143.5;145.08;19613720
180713;000000;145.32;146.87;144.87;146.87;13522800
180716;000000;146.79;148.98;146.13;147;25861000
180717;000000;146.59;146.73;144.15;145.31;25684080
180718;000000;138.86;138.99;137.45;138.29;28361940
180719;000000;138.39;138.66;136.85;137.58;18326290
180720;000000;137.53;138;136.42;136.47;18700220
180723;000000;136.58;139.22;136.58;138.37;17901510
180724;000000;138.57;139.7;137.92;138.85;13396020
180725;000000;138.08;138.88;137.64;138.21;13601850
180726;000000;138.84;139.17;137.74;138.18;10795300
180727;000000;138.4;138.7;137.13;137.99;9466230
180730;000000;137.58;138.9;137.12;138.9;13182880
180731;000000;138.71;143.79;138.46;143.79;31491250
180801;000000;143;143.31;141.48;142.14;18193480
180802;000000;141.75;142.89;139.76;140.36;12663990
180803;000000;140.2;142.39;139.5;142.39;21843850
180806;000000;142.43;142.58;140.32;141.34;15233700
180807;000000;141.35;143.04;140.95;142.74;14033950
180808;000000;142.71;144.19;142.2;144.1;26994160
180809;000000;143.4;145.46;143.26;145.2;29174620
180810;000000;144.68;146.2;144.01;144.8;27191130
180813;000000;143.9;145.15;142.54;142.9;22775280
180814;000000;143.49;143.49;139.85;141.24;22362070
180815;000000;141.02;141.68;139.5;141.5;20921490
180816;000000;141.46;142.09;139.95;140.88;14303090
180817;000000;140.87;141.76;140.03;141.01;15071490
180820;000000;141.97;142.22;140.61;141.51;8200340
180821;000000;141.57;143.49;140.12;143.3;13668300
180822;000000;143.5;144.41;142.3;144.16;16220450
180823;000000;143.81;145;141.5;141.5;21388560
180824;000000;141.7;143.98;141.5;143.6;18991800
180827;000000;143.51;144.52;143.25;144.52;12761820
180828;000000;144.57;146.73;144.57;145.6;19605540
180829;000000;145.75;147.88;145.4;147.88;19138360
180830;000000;147.87;148.34;145.66;145.98;17196900
180831;000000;145.7;150.2;144.78;149.95;32950200
180903;000000;149.95;151;148.52;148.73;14940540
180904;000000;148.86;149.41;146.39;147.4;17075740
180905;000000;147.2;148.5;146.85;147.06;15791180
180906;000000;147.16;149.5;146.89;147.06;22009830
180907;000000;146.96;148.99;146.54;148.8;16239400
180910;000000;149;150.75;148.15;150.75;18670210
180911;000000;150.75;152.95;150.17;152.36;44746030
180912;000000;152.86;156;152.54;155.05;34157300
180913;000000;154.6;155.79;153;153.5;21455930
180914;000000;153.33;154;151.77;152.15;14166220
180917;000000;151.99;155.74;151.41;155.46;33784110
180918;000000;155.5;157.87;154.74;157.08;27139580
180919;000000;157.52;159.79;156.65;157.39;43320720
180920;000000;157.1;158.89;154.35;154.35;52178250
180921;000000;154.64;158.95;154.52;158.64;48177010
180924;000000;158.48;159.5;157.6;159;21553930
180925;000000;159.48;160.94;157.8;160.84;21965630
180926;000000;161.26;162;158.64;159.27;25557150
180927;000000;159.34;162.45;158.57;161.8;41245320
180928;000000;162;163.19;160.5;162.61;18914160
181001;000000;163.43;163.93;161.2;161.89;15691970
181002;000000;162.02;163.47;160.97;162.59;22794340
181003;000000;163;170.15;162.77;169.47;65141860
181004;000000;169.6;171.95;167.15;168.5;54167140
181005;000000;167.8;171.14;166.52;170.5;30143510
181008;000000;171.99;173.95;170.55;171.81;24276060
181009;000000;172.59;176.95;172.11;172.11;45938350
181010;000000;172.11;172.95;165.9;166.2;40726270
181011;000000;162.4;163.8;160.6;161.92;43667630
181012;000000;163.2;167.59;163.1;167;32072180
181015;000000;167.58;168.6;163.18;164;20154950
181016;000000;163.91;166;161.61;165.99;19259040
181017;000000;167.14;167.38;163.3;164.56;19388010
181018;000000;163.8;164.55;159.7;160.18;27086820
181019;000000;160.7;161.32;158.19;161.32;31865890
181022;000000;161.5;162.5;155.42;155.7;26071090
181023;000000;154.48;155.2;151.76;153.61;31852020
181024;000000;154.89;156.58;152.31;154.7;38379370
181025;000000;152.7;156.87;152.5;155.65;35181510
181026;000000;155.19;155.24;151.21;152.5;24333150
181029;000000;152;153.76;151.56;152.52;15747080
181030;000000;151.98;153.74;149.9;151.3;18630320
181031;000000;152;155.47;152;155.47;24344060
181101;000000;155.09;155.1;153.17;153.5;17054340
181102;000000;154.11;154.99;153.32;153.71;15921720
181106;000000;154.66;156.65;154.38;156;17900550
181107;000000;156.09;157.89;154.7;157.85;34064230
181108;000000;158;159;156.71;157.51;19897210
181109;000000;156.58;156.86;151.8;153.19;34550880
181112;000000;153.36;153.9;150.8;150.89;18167710
181113;000000;150.47;151.5;148.8;148.83;28381590
181114;000000;148.34;152.18;147.55;151.85;29905210
181115;000000;152.77;155.21;152.6;154.14;29357240
181116;000000;154.31;154.76;151.54;153.16;22612860
181119;000000;153.5;155;153.42;154.1;18705890
181120;000000;153.8;154;150.3;151.51;17143570
181121;000000;151.23;152.75;151.13;152.4;15547090
181122;000000;152.4;154.4;152.02;153.91;11601450
181123;000000;153.44;153.67;150.3;151.79;19144370
181126;000000;151.74;151.79;146.3;149.53;30510770
181127;000000;149.92;154.27;149.8;153.8;20047920
181128;000000;154.22;166.1;154;165.58;75501600
181129;000000;166.6;167.36;163.6;164.99;43222090
181130;000000;164.4;164.65;160.25;161.29;34040720
181203;000000;164.2;166.65;163.81;165.4;39201230
181204;000000;164.92;165;162.3;164.2;21819480
181205;000000;161.29;164.57;160.31;164.57;23326990
181206;000000;162.9;163;159;160.62;30346560
181207;000000;160.83;163.15;159.67;163;29899120
181210;000000;161.5;162.5;160.68;161;13580700
181211;000000;160.8;161.27;157.69;158.6;24926650
181212;000000;158;158.09;154;155.79;32682680
181213;000000;154.95;156.49;153.25;156.49;19593130
181214;000000;155.96;155.98;153.51;155.4;13691610
181217;000000;155.16;156.41;152.93;153.53;18335250
181218;000000;152.4;152.42;150.05;151.89;29979840
181219;000000;151.1;153.79;150.71;152.98;19828860
